crystal_system,seed,feature,mae_increase,within_seed_std,test_mae,rank_within_seed
Orthorhombic,55,MagpieData minimum GSbandgap,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData maximum GSbandgap,0.0012269116164595139,0.00031572484742594363,0.6447019372673305,70.0
Orthorhombic,55,MagpieData range GSbandgap,0.002065738303302855,0.0007225468487733588,0.6447019372673305,59.0
Orthorhombic,55,MagpieData mean GSbandgap,0.03083132474075816,0.0030228419447106665,0.6447019372673305,7.0
Orthorhombic,55,MagpieData avg_dev GSbandgap,0.025151393645014664,0.0028504646200594643,0.6447019372673305,11.0
Orthorhombic,55,MagpieData mode GSbandgap,0.00011612798140758773,5.599627935529495e-05,0.6447019372673305,99.0
Orthorhombic,55,MagpieData minimum GSmagmom,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData maximum GSmagmom,0.0004836823227694742,0.00016029153568448417,0.6447019372673305,85.0
Orthorhombic,55,MagpieData range GSmagmom,0.0008791198644758191,0.0004372141260672615,0.6447019372673305,75.0
Orthorhombic,55,MagpieData mean GSmagmom,0.002472238420972084,0.0004557255919023308,0.6447019372673305,57.0
Orthorhombic,55,MagpieData avg_dev GSmagmom,0.0043493728494584435,0.0007797743410175946,0.6447019372673305,45.0
Orthorhombic,55,MagpieData mode GSmagmom,-8.881784197001253e-17,1.0877919644084148e-16,0.6447019372673305,117.0
Orthorhombic,55,MagpieData minimum SpaceGroupNumber,-0.001206975341795924,0.0006151610122013852,0.6447019372673305,137.0
Orthorhombic,55,MagpieData maximum SpaceGroupNumber,0.0006065849745450214,0.00028867499613803414,0.6447019372673305,82.0
Orthorhombic,55,MagpieData range SpaceGroupNumber,0.004606626494972588,0.001188521771006582,0.6447019372673305,41.0
Orthorhombic,55,MagpieData mean SpaceGroupNumber,0.02630395544469468,0.0022990986281830727,0.6447019372673305,9.0
Orthorhombic,55,MagpieData avg_dev SpaceGroupNumber,-0.008877326936570683,0.0033823039551317737,0.6447019372673305,138.0
Orthorhombic,55,MagpieData mode SpaceGroupNumber,1.5465446748685885e-05,8.124123026020483e-05,0.6447019372673305,110.0
Orthorhombic,55,nelements,0.0012918723999724379,0.00020249236389430247,0.6447019372673305,68.0
Orthorhombic,55,formation_energy_per_atom,0.12187839404273508,0.00347634160733279,0.6447019372673305,2.0
Orthorhombic,55,energy_above_hull,0.27896300619734604,0.008744720971053844,0.6447019372673305,1.0
Orthorhombic,55,density,0.025386932754718927,0.0024308401511430188,0.6447019372673305,10.0
Orthorhombic,55,volume,0.004447963483882811,0.0013918988744302278,0.6447019372673305,43.0
Orthorhombic,55,nsites,0.0006929144155086497,0.000738465591603109,0.6447019372673305,80.0
Trigonal,11,MagpieData minimum Number,0.0004364108620874774,0.00019411536730335998,0.5740803916717147,84.0
Trigonal,11,MagpieData maximum Number,0.0035518576968560423,0.0008531396621192122,0.5740803916717147,49.0
Trigonal,11,MagpieData range Number,0.006526960721017283,0.0009862442307629472,0.5740803916717147,32.0
Trigonal,11,MagpieData mean Number,0.002335723356922714,0.0004949818956911128,0.5740803916717147,57.0
Trigonal,11,MagpieData avg_dev Number,0.001708961134303788,0.0008836517085011401,0.5740803916717147,62.0
Trigonal,11,MagpieData mode Number,0.0002704279633739093,0.00029394547653470123,0.5740803916717147,93.0
Trigonal,11,MagpieData minimum MendeleevNumber,0.0020802652967592873,0.0006960861094746317,0.5740803916717147,58.0
Trigonal,11,MagpieData maximum MendeleevNumber,0.0007362051694170813,0.00016597750936595465,0.5740803916717147,76.0
Trigonal,11,MagpieData range MendeleevNumber,0.0029071511168696105,0.0008033049608923571,0.5740803916717147,53.0
