crystal_system,feature,mean_mae_increase,std_across_seeds,mean_within_seed_std,top3_seed_count,positive_seed_count,mean_rank
Hexagonal,MagpieData range GSbandgap,0.0012958564421464214,0.0022481582554362903,0.001377152357153787,0,4,78.2
Hexagonal,MagpieData maximum MendeleevNumber,0.0012617621507904665,0.0009543200561425373,0.001138538904628548,0,4,75.2
Hexagonal,MagpieData mean NfValence,0.0011081600251656766,0.0011864748771345235,0.000711112660136466,0,4,75.0
Hexagonal,MagpieData range GSmagmom,0.0009801507887994142,0.0011203113895986827,0.00045881458452360046,0,4,78.0
Hexagonal,MagpieData minimum AtomicWeight,0.0008964478860276959,0.0011764947844596107,0.0005668474590569221,0,4,80.6
Hexagonal,MagpieData mode MendeleevNumber,0.00069144554412079,0.0005921348832603902,0.0004887754601166273,0,4,82.0
Hexagonal,MagpieData avg_dev NfValence,0.000648327417338419,0.0012426493827050681,0.0004871980565899447,0,3,92.4
Hexagonal,MagpieData maximum GSmagmom,0.0005559145459803006,0.0006948305846881232,0.00033872291588632984,0,4,83.0
Hexagonal,MagpieData maximum NfValence,0.0005018780841288395,0.0009333470716170264,0.00020873454026125,0,3,93.2
Hexagonal,MagpieData avg_dev NsUnfilled,0.0004963430638527599,0.00022044014692704176,0.0005236129477067338,0,5,77.2
Hexagonal,MagpieData minimum Number,0.0004937878241903481,0.0009206267727082599,0.0006225917688658278,0,3,94.8
Hexagonal,MagpieData range Electronegativity,0.0004901979220372298,0.0017505159511119277,0.0009288434898802392,0,3,91.0
Hexagonal,MagpieData mean NsUnfilled,0.000466616561212132,0.001139041622186489,0.0005226147100251732,0,4,83.8
Hexagonal,MagpieData mode SpaceGroupNumber,0.00046439519367482253,0.00041699596625128436,0.00021225421342932873,0,5,82.6
Hexagonal,MagpieData minimum Column,0.00041631075152403157,0.0005013458764115415,0.0004031702937677182,0,4,87.0
Hexagonal,MagpieData range NpUnfilled,0.00041170687149543194,0.0008161228392829339,0.000576122770310509,0,3,96.6
Hexagonal,MagpieData range NfValence,0.00034678745381877985,0.0003055435469917891,0.00019487842712395347,0,5,85.2
Hexagonal,MagpieData mode Number,0.0003443070277850247,0.000764907683571003,6.038309391850751e-05,0,3,98.4
Hexagonal,MagpieData mode AtomicWeight,0.0003260556755256161,0.000355909912341194,0.00017705628701727543,0,3,94.2
Hexagonal,MagpieData maximum SpaceGroupNumber,0.0003240833868700088,0.0010521798288940485,0.00043529974090051796,0,3,93.0
Hexagonal,MagpieData avg_dev NsValence,0.0003230089246968637,0.0009415125900098906,0.00041398712370916015,0,3,97.6
Hexagonal,MagpieData range Number,0.0003185618284906733,0.001606684363705557,0.0013767792550567481,0,3,92.4
Hexagonal,MagpieData maximum NpUnfilled,0.0003010538806737406,0.0009395692477303951,0.0004393757296116558,0,4,96.4
Hexagonal,MagpieData maximum GSvolume_pa,0.0002478586485763312,0.0018001186917233443,0.001173191881358212,0,2,102.6
Hexagonal,MagpieData minimum NpUnfilled,0.0002475997240122574,0.0003069488295412141,0.00011053107227058427,0,4,91.0
Hexagonal,MagpieData minimum CovalentRadius,0.0002416945019410299,0.00016831488412238628,0.00011861213540533509,0,5,87.8
Hexagonal,MagpieData minimum NsValence,0.00022877749677013614,0.00013457250201229004,0.00014939370930366712,0,5,89.0
Hexagonal,MagpieData range NpValence,0.00022714997678064284,0.0003722293078888959,0.00019357916645109521,0,4,92.4
Hexagonal,MagpieData mode MeltingT,0.000208733078768355,0.0004154908394187671,9.903427670959915e-05,0,3,98.2
Hexagonal,MagpieData range NsUnfilled,0.000207813865808717,0.00034602078424272675,0.00013528886286126444,0,3,97.6
Hexagonal,MagpieData mode Row,0.0001433480631795714,0.0002484483482851903,7.876373833624078e-05,0,4,95.0
Hexagonal,MagpieData minimum Row,0.0001318584036827941,0.00021224039956912045,8.597798370896302e-05,0,2,99.6
Hexagonal,MagpieData mode CovalentRadius,0.0001249094120311378,0.00027811449350807033,7.390253734467568e-05,0,3,101.6
