crystal_system,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,std_absolute_coefficient,nonzero_folds
Monoclinic,MagpieData mean AtomicWeight,-0.31219304375595014,0.0572573356650697,0.31219304375595014,0.0572573356650697,5
Monoclinic,MagpieData mean Column,0.4830991058289561,0.034766730280337985,0.4830991058289561,0.034766730280337985,5
Monoclinic,MagpieData mean CovalentRadius,0.35666043330463565,0.0760161213095901,0.35666043330463565,0.0760161213095901,5
Monoclinic,MagpieData mean Electronegativity,-0.06875175242673665,0.029602582597449453,0.06875175242673665,0.029602582597449453,5
Monoclinic,MagpieData mean GSbandgap,0.6360001465741909,0.02508557544530236,0.6360001465741909,0.02508557544530236,5
Monoclinic,MagpieData mean GSmagmom,0.13578555304710108,0.040204478922598645,0.13578555304710108,0.040204478922598645,5
Monoclinic,MagpieData mean GSvolume_pa,0.011263319508640107,0.025185548073618808,0.011263319508640107,0.025185548073618808,1
Monoclinic,MagpieData mean MeltingT,-0.04354057629024264,0.04118299641241882,0.04354057629024264,0.04118299641241882,5
Monoclinic,MagpieData mean MendeleevNumber,-0.19040221186589212,0.0511890256319237,0.19040221186589212,0.0511890256319237,5
Monoclinic,MagpieData mean NUnfilled,-0.053505556675135145,0.028744349441086774,0.053505556675135145,0.028744349441086774,5
Monoclinic,MagpieData mean NValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mean NdUnfilled,-0.2907864469262182,0.0831163928854962,0.2907864469262182,0.0831163928854962,5
Monoclinic,MagpieData mean NdValence,0.49026365557141977,0.05723062416675211,0.49026365557141977,0.05723062416675211,5
Monoclinic,MagpieData mean NfUnfilled,-0.04758702099865677,0.025931896226943443,0.04758702099865677,0.025931896226943443,5
Monoclinic,MagpieData mean NfValence,-0.05879809897524425,0.0626648205124184,0.05879809897524425,0.0626648205124184,3
Monoclinic,MagpieData mean NpUnfilled,-0.03482423563426096,0.04669086419896479,0.03482423563426096,0.04669086419896479,4
Monoclinic,MagpieData mean NpValence,0.010193162757158692,0.015589300850750998,0.010193162757158692,0.015589300850750998,2
Monoclinic,MagpieData mean NsUnfilled,0.005261209896666575,0.011764422972841108,0.005261209896666575,0.011764422972841108,1
Monoclinic,MagpieData mean NsValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mean Number,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mean Row,-0.23097964173898902,0.1226336993565105,0.23097964173898902,0.1226336993565105,5
Monoclinic,MagpieData mean SpaceGroupNumber,-0.002723678967966912,0.004142602727743647,0.002723678967966912,0.004142602727743647,2
Monoclinic,MagpieData minimum AtomicWeight,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum Column,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum CovalentRadius,0.0016207602700899913,0.0036241301391521396,0.0016207602700899913,0.0036241301391521396,1
Monoclinic,MagpieData minimum Electronegativity,-0.2812561414172548,0.015076220080350523,0.2812561414172548,0.015076220080350523,5
Monoclinic,MagpieData minimum GSbandgap,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum GSmagmom,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum GSvolume_pa,-0.16174450009924923,0.015285136868731541,0.16174450009924923,0.015285136868731541,5
Monoclinic,MagpieData minimum MeltingT,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum MendeleevNumber,0.1692969726451355,0.006945009187494142,0.1692969726451355,0.006945009187494142,5
Monoclinic,MagpieData minimum NUnfilled,0.04545718812597757,0.016085392018228374,0.04545718812597757,0.016085392018228374,5
Monoclinic,MagpieData minimum NValence,0.09310511670447048,0.013177998297550777,0.09310511670447048,0.013177998297550777,5
Monoclinic,MagpieData minimum NdUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum NdValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum NfUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum NfValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum NpUnfilled,0.046877012005225864,0.01853378439468216,0.046877012005225864,0.01853378439468216,5
Monoclinic,MagpieData minimum NpValence,0.029092633327214464,0.014810767001907584,0.029092633327214464,0.014810767001907584,5
Monoclinic,MagpieData minimum NsUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData minimum NsValence,0.09289480598406236,0.01546596980001656,0.09289480598406236,0.01546596980001656,5
Monoclinic,MagpieData minimum Number,0.27706421976203954,0.11869975567606592,0.27706421976203954,0.11869975567606592,5
Monoclinic,MagpieData minimum Row,-0.03300986195211126,0.03229059291651953,0.03300986195211126,0.03229059291651953,3
Monoclinic,MagpieData minimum SpaceGroupNumber,0.0667288380577035,0.019100319670761524,0.0667288380577035,0.019100319670761524,5
Monoclinic,MagpieData mode AtomicWeight,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mode Column,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mode CovalentRadius,0.10294264084201357,0.04631289894954504,0.10294264084201357,0.04631289894954504,5
Monoclinic,MagpieData mode Electronegativity,-0.04159814141942273,0.030726030447342907,0.04159814141942273,0.030726030447342907,5
Monoclinic,MagpieData mode GSbandgap,-0.035836048101734186,0.013883227411144674,0.035836048101734186,0.013883227411144674,5
Monoclinic,MagpieData mode GSmagmom,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mode GSvolume_pa,-0.12245737458541654,0.021373078607107483,0.12245737458541654,0.021373078607107483,5
Monoclinic,MagpieData mode MeltingT,-0.05721351237599646,0.021114944761503066,0.05721351237599646,0.021114944761503066,5
Monoclinic,MagpieData mode MendeleevNumber,0.10410473019722548,0.013745813609426782,0.10410473019722548,0.013745813609426782,5
Monoclinic,MagpieData mode NUnfilled,0.05431695119345037,0.025164400704999382,0.05431695119345037,0.025164400704999382,5
Monoclinic,MagpieData mode NValence,-0.11333730698486304,0.027589997488402976,0.11333730698486304,0.027589997488402976,5
Monoclinic,MagpieData mode NdUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mode NdValence,-0.006762593225768604,0.006960326527389644,0.006762593225768604,0.006960326527389644,3
Monoclinic,MagpieData mode NfUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mode NfValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData mode NpUnfilled,-0.005494966886903884,0.012287119493227484,0.005494966886903884,0.012287119493227484,1
